temperature,humidity,gas_ppm,vibration,light_lux,condition
4.62,47.87,219.94,2.32,167.03,abnormal
6.98,53.99,160.75,0.03,245.96,normal
4.55,46.21,136.16,0.59,201.02,normal
2.3,51.77,193.31,0.12,100.46,normal
5.93,51.71,172.46,0.94,63.59,normal
6.54,57.16,187.28,0.27,50.61,normal
7.98,41.32,213.36,0.04,172.11,normal
6.85,45.95,221.12,0.82,235.85,normal
5.64,59.79,188.61,0.65,89.73,normal
6.11,56.27,144.98,0.56,108.52,normal
4.29,41.99,116.77,0.29,59.82,normal
3.6,44.67,109.61,0.32,86.6,normal
7.8,53.39,181.17,0.58,232.39,normal
6.84,11.34,219.83,0.26,226.68,abnormal
2.84,44.29,88.67,0.46,1404.08,abnormal
10.89,41.1,106.92,0.67,55.49,abnormal
5.77,41.9,238.25,0.94,238.74,normal
3.41,53.69,207.66,0.57,169.09,normal
5.51,58.02,232.57,2.33,138.89,abnormal
7.02,50.07,179.9,0.29,182.3,normal
6.92,41.41,172.93,0.4,102.01,normal
2.96,42.4,240.96,0.88,154.39,normal
3.4,59.66,245.33,0.37,236.5,normal
2.37,40.51,171.82,0.42,114.04,normal
6.97,43.6,112.12,0.56,109.91,normal
6.59,53.36,238.81,0.51,149.94,normal
3.62,43.31,193.97,0.56,150.94,normal
6.51,51.57,249.84,0.93,145.43,normal
3.6,51.78,118.99,0.12,230.94,normal
5.49,42.25,152.62,0.49,160.37,normal
4.93,53.48,217.44,0.55,94.83,normal
4.12,55.58,158.24,0.8,210.96,normal
4.39,45.86,87.68,0.6,134.33,normal
7.01,47.53,172.96,0.72,237.11,normal
3.59,50.23,105.79,0.44,80.59,normal
4.32,43.2,238.68,0.58,98.63,normal
3.65,50.93,80.06,0.97,242.03,normal
3.6,48.0,198.44,0.23,58.22,normal
7.91,47.9,105.73,0.99,155.44,normal
2.41,40.44,221.61,0.09,64.77,normal
15.86,55.13,203.21,0.36,201.1,abnormal
6.89,59.97,228.43,0.71,71.59,normal
6.32,57.89,138.09,0.98,58.76,normal
5.34,41.89,136.52,0.83,54.39,normal
7.44,45.57,131.35,0.14,74.91,normal
3.91,40.63,112.85,0.29,55.65,normal
4.41,41.26,208.45,0.48,232.31,normal
6.63,42.54,123.98,0.54,200.6,normal
5.28,59.13,204.01,0.87,142.35,normal
2.58,41.59,126.05,0.52,249.06,normal
7.04,52.45,236.25,0.63,239.44,normal
5.7,50.77,216.81,0.25,245.05,normal
5.71,48.81,238.15,0.38,112.47,normal
13.27,51.77,246.41,0.8,59.86,abnormal
2.81,51.98,110.7,0.84,206.21,normal
-0.82,47.63,198.11,0.35,64.08,abnormal
6.1,41.24,221.53,0.54,204.26,normal
3.24,46.29,149.83,0.71,75.15,normal
3.56,47.45,89.49,0.49,59.83,normal
5.91,46.02,103.1,0.53,166.07,normal
3.76,47.53,143.76,0.87,207.1,normal
5.34,48.7,164.58,0.05,207.84,normal
2.09,55.81,132.83,0.42,122.84,normal
4.04,57.85,177.11,0.78,111.7,normal
3.32,55.63,216.89,0.03,76.17,normal
3.55,83.09,144.81,0.13,176.71,abnormal
4.02,45.78,98.43,0.63,170.73,normal
7.55,40.18,238.43,0.43,221.12,normal
2.91,43.62,209.55,0.45,242.87,normal
5.94,46.21,102.84,0.32,63.47,normal
2.47,45.62,247.19,0.09,232.14,normal
7.74,50.67,167.9,3.55,61.99,abnormal
7.88,40.3,160.68,0.52,129.22,normal
7.95,42.56,228.69,0.17,169.1,normal
7.58,27.95,238.27,0.27,76.98,abnormal
6.76,57.05,188.56,0.42,79.45,normal
2.99,44.08,122.71,0.74,226.9,normal
4.58,53.93,204.01,0.87,156.46,normal
4.1,56.38,108.7,0.98,239.6,normal
2.77,53.43,198.1,0.23,114.86,normal
6.78,59.6,125.62,0.03,238.91,normal
5.92,45.7,159.43,0.74,223.97,normal
11.11,58.89,106.21,0.71,139.49,abnormal
5.69,54.73,246.12,0.68,174.16,normal
2.51,48.77,211.5,0.76,98.58,normal
5.85,54.85,163.18,0.03,223.52,normal
4.28,43.39,92.37,0.47,192.84,normal
2.36,56.94,183.15,0.39,99.39,normal
3.97,52.71,85.64,0.61,208.57,normal
6.32,50.06,104.62,0.62,95.89,normal
2.07,92.16,226.75,0.79,198.06,abnormal
6.29,47.93,160.61,0.29,231.0,normal
7.93,80.58,123.25,0.67,121.89,abnormal
2.32,50.63,219.31,0.88,187.69,normal
5.72,49.01,213.33,0.11,178.36,normal
7.46,54.52,134.48,0.64,74.67,normal
7.76,50.25,123.43,0.54,127.2,normal
5.48,59.76,169.71,0.78,226.96,normal
5.59,46.12,247.5,0.48,190.62,normal
2.63,56.79,195.77,0.25,96.51,normal
7.17,59.73,171.88,0.96,192.09,normal
2.79,44.07,174.65,0.23,139.91,normal
3.43,55.85,105.66,0.11,179.21,normal
2.18,58.4,106.71,0.88,92.02,normal
7.2,58.48,200.99,0.56,92.42,normal
2.27,42.34,111.47,0.18,50.42,normal
5.13,49.23,144.5,0.05,55.96,normal
6.03,51.16,881.22,0.48,127.25,abnormal
2.5,45.91,143.35,0.8,107.75,normal
0.39,45.79,134.29,0.24,238.68,abnormal
6.53,55.72,126.98,0.78,203.29,normal
2.83,46.3,149.47,0.98,113.28,normal
2.59,40.07,204.67,0.99,141.41,normal
7.5,40.07,218.95,0.28,115.88,normal
4.28,56.68,136.34,0.9,59.22,normal
7.38,47.8,125.67,0.07,231.0,normal
4.23,57.35,200.52,0.7,228.36,normal
2.01,83.94,135.07,0.4,213.59,abnormal
6.63,84.39,168.87,0.02,204.6,abnormal
4.58,50.96,130.01,0.14,156.86,normal
5.73,43.19,183.18,0.78,155.59,normal
5.35,50.4,188.0,0.12,155.83,normal
5.85,55.63,92.35,0.03,210.57,normal
4.18,56.88,176.79,0.9,54.67,normal
2.76,58.87,102.56,0.88,202.8,normal
7.1,52.62,178.14,0.83,87.35,normal
7.87,51.07,80.99,0.94,229.46,normal
2.84,41.46,158.37,0.34,112.87,normal
4.92,15.82,95.34,0.75,147.66,abnormal
3.11,41.49,172.11,0.8,179.0,normal
2.55,54.26,148.48,0.14,103.25,normal
5.62,49.55,167.08,0.07,60.68,normal
7.97,57.68,202.57,0.37,233.25,normal
5.32,53.62,143.38,0.83,59.07,normal
5.03,40.06,178.26,0.13,223.93,normal
2.0,51.49,239.48,0.05,176.42,normal
6.22,46.84,126.77,0.05,84.34,normal
3.67,57.29,248.62,0.5,233.91,normal
7.32,57.71,127.6,0.06,147.09,normal
7.47,50.33,107.36,0.26,140.52,normal
7.96,41.45,240.07,0.54,236.25,normal
2.04,41.32,213.67,0.94,178.3,normal
2.35,42.32,143.21,0.0,85.6,normal
6.84,59.62,191.68,0.31,135.48,normal
2.26,47.25,240.99,0.86,138.12,normal
2.82,40.88,158.6,0.81,168.73,normal
2.03,49.68,234.03,0.83,180.73,normal
6.71,51.24,596.34,0.29,212.15,abnormal
5.4,49.37,180.83,0.57,223.04,normal
2.79,45.14,242.61,0.77,132.68,normal
7.76,55.86,167.49,0.14,144.83,normal
6.87,41.65,233.29,0.73,64.14,normal
2.27,47.04,175.45,0.61,94.36,normal
4.81,45.94,245.04,0.78,195.67,normal
5.14,57.63,121.13,0.87,80.28,normal
4.43,45.46,172.76,0.04,135.85,normal
5.29,59.79,249.4,0.89,236.19,normal
5.28,59.35,134.05,0.23,234.23,normal
5.78,57.0,149.0,0.14,59.49,normal
4.67,48.89,127.04,0.05,122.02,normal
4.11,47.28,147.5,0.21,86.55,normal
5.56,50.82,136.66,0.77,71.43,normal
6.2,54.61,193.23,0.6,227.9,normal
2.5,42.0,212.41,0.94,68.95,normal
11.42,56.11,199.71,0.45,127.81,abnormal
3.06,52.68,149.04,0.62,233.88,normal
7.52,45.36,239.88,0.68,249.64,normal
2.81,48.75,133.34,0.79,1065.89,abnormal
10.11,57.2,209.12,0.7,60.15,abnormal
4.02,57.26,238.19,0.91,119.4,normal
6.12,51.76,154.83,0.89,117.96,normal
2.26,56.7,96.98,0.44,88.25,normal
5.57,40.99,140.16,0.74,184.81,normal
7.48,53.33,220.97,0.05,246.51,normal
6.07,44.32,131.69,0.72,90.65,normal
10.03,46.96,239.41,0.88,135.68,abnormal
6.19,55.21,90.95,0.54,175.37,normal
0.94,46.74,184.61,0.89,241.97,abnormal
6.56,44.87,143.55,0.57,79.3,normal
2.42,41.19,243.84,0.57,165.52,normal
4.39,48.57,235.38,0.82,61.76,normal
6.3,49.55,87.5,0.7,98.33,normal
3.6,53.6,201.83,0.96,182.44,normal
3.73,51.62,243.74,0.37,95.01,normal
4.94,47.54,224.17,0.16,115.62,normal
5.8,56.57,92.39,0.21,125.9,normal
7.39,43.67,97.98,0.54,86.75,normal
3.12,58.94,199.42,0.15,207.86,normal
7.14,41.39,205.33,0.03,57.97,normal
7.03,10.93,121.53,0.64,241.82,abnormal
4.48,45.07,82.37,0.89,73.33,normal
4.66,55.89,184.77,0.01,229.28,normal
7.85,58.24,136.79,0.88,162.51,normal
5.26,46.47,176.15,0.19,84.2,normal
6.63,46.23,147.19,0.23,218.63,normal
6.82,43.58,81.44,0.69,141.51,normal
3.12,45.12,247.16,0.89,188.98,normal
7.44,42.29,216.2,0.84,95.13,normal
2.04,43.78,199.07,0.17,179.41,normal
5.96,41.35,234.17,0.52,74.9,normal
4.93,40.09,142.23,0.09,71.28,normal
4.62,50.71,136.49,0.55,196.07,normal
6.5,53.81,682.27,0.7,68.84,abnormal
2.27,41.01,248.71,0.34,97.27,normal
6.85,52.08,116.71,0.55,125.09,normal
7.45,49.59,503.43,0.51,116.34,abnormal
2.32,41.92,167.37,2.67,200.8,abnormal
2.32,51.02,184.56,0.54,175.05,normal
3.37,53.25,106.43,0.25,105.48,normal
3.67,44.23,102.39,0.75,154.98,normal
4.53,59.07,141.18,0.6,89.26,normal
2.76,52.55,82.22,0.04,91.57,normal
7.62,53.92,117.23,0.13,193.39,normal
7.1,42.54,228.89,0.24,193.57,normal
6.66,42.61,95.9,0.34,59.41,normal
3.18,53.64,220.23,0.34,208.61,normal
6.97,49.14,140.5,0.9,69.19,normal
2.79,41.42,83.9,0.16,169.64,normal
7.3,53.72,206.19,0.47,125.62,normal
7.16,43.18,207.34,0.53,73.87,normal
3.58,56.84,206.12,0.82,63.38,normal
2.97,51.35,216.25,0.2,73.7,normal
5.01,47.34,174.72,0.37,218.25,normal
4.76,25.06,231.46,0.38,190.09,abnormal
15.7,56.08,141.55,0.06,166.24,abnormal
6.7,46.01,86.15,0.97,128.3,normal
3.84,55.4,201.94,0.57,118.76,normal
5.63,43.35,112.26,0.85,127.07,normal
7.0,41.77,244.67,0.26,207.17,normal
7.52,54.78,239.94,0.55,114.11,normal
2.61,50.29,167.25,0.89,57.86,normal
7.69,51.88,196.83,0.1,174.55,normal
5.84,54.49,234.26,0.71,181.6,normal
4.28,44.41,175.15,0.8,227.47,normal
7.77,45.63,158.36,0.96,227.79,normal
4.19,44.72,121.74,0.95,239.87,normal
6.14,41.55,200.09,0.37,183.69,normal
2.17,59.6,125.4,0.86,205.67,normal
6.14,53.5,164.89,0.8,130.28,normal
6.32,59.81,202.7,0.94,233.24,normal
3.2,59.34,154.22,0.56,248.23,normal
4.32,54.56,212.08,0.38,211.38,normal
7.44,42.53,110.1,0.29,54.43,normal
2.05,46.64,222.59,0.62,237.98,normal
6.89,43.71,147.85,0.14,207.31,normal
4.29,46.04,155.94,0.11,234.53,normal
7.22,45.52,120.73,0.78,167.7,normal
3.09,42.45,218.32,0.05,183.54,normal
5.27,43.91,214.75,0.16,133.09,normal
6.66,57.72,116.29,0.81,140.56,normal
5.95,49.16,97.72,0.91,230.73,normal
5.87,54.62,164.27,0.53,121.25,normal
7.59,41.59,204.08,0.45,233.23,normal
3.91,44.18,218.66,0.66,197.82,normal
7.34,50.11,158.31,0.27,186.06,normal
2.29,19.94,189.28,0.16,179.62,abnormal
2.15,50.58,215.43,0.88,214.07,normal
4.67,49.06,178.14,0.4,114.78,normal
4.81,42.23,234.87,0.65,59.33,normal
6.2,56.31,218.32,0.93,62.58,normal
3.95,85.38,247.29,0.04,234.15,abnormal
6.09,54.59,91.17,0.19,142.62,normal
-4.28,40.53,131.19,0.97,188.46,abnormal
7.51,55.26,169.94,0.63,67.37,normal
11.98,43.96,185.81,0.35,80.83,abnormal
3.06,54.42,182.16,0.19,195.25,normal
3.48,42.56,143.5,4.46,215.45,abnormal
3.28,44.69,108.73,0.64,1270.86,abnormal
6.2,43.8,168.78,0.61,50.28,normal
4.84,53.87,232.05,0.83,206.37,normal
3.36,48.54,166.24,0.97,143.91,normal
2.29,59.52,87.75,0.19,171.43,normal
2.72,50.11,106.93,0.85,126.23,normal
4.95,43.12,96.96,0.64,240.43,normal
0.36,51.17,175.24,0.96,191.22,abnormal
6.0,26.84,153.91,0.71,102.43,abnormal
4.42,44.01,155.24,3.05,79.03,abnormal
0.89,59.65,104.08,0.16,192.41,abnormal
2.64,52.15,123.14,0.15,162.04,normal
6.44,43.09,218.67,0.99,176.27,normal
6.41,47.07,89.72,0.18,227.69,normal
3.27,88.12,233.04,0.24,229.42,abnormal
4.87,55.97,91.33,0.65,156.31,normal
6.1,49.84,97.77,0.24,147.11,normal
7.14,59.0,211.27,0.65,114.79,normal
5.96,44.4,145.51,0.4,61.47,normal
5.98,44.58,220.79,0.47,123.08,normal
6.38,55.82,87.66,0.32,163.74,normal
7.62,53.19,142.61,0.43,194.08,normal
5.4,58.37,138.18,0.43,53.38,normal
15.76,47.52,247.41,0.59,140.17,abnormal
6.83,41.2,216.58,0.81,53.63,normal
7.86,53.33,92.09,0.87,149.23,normal
5.97,42.99,92.46,0.2,98.73,normal
7.44,52.41,158.67,0.57,140.78,normal
7.73,49.49,92.61,0.43,228.64,normal
6.79,59.7,111.51,0.44,127.88,normal
4.76,46.78,178.05,0.53,174.33,normal
4.52,44.74,188.36,0.21,176.19,normal
7.5,53.86,114.51,0.6,175.99,normal
3.85,40.62,167.12,0.73,165.64,normal
3.4,42.89,106.95,0.59,120.39,normal
4.09,56.15,126.29,0.28,178.02,normal
3.7,40.14,88.49,0.14,243.63,normal
3.84,50.9,209.63,0.5,109.55,normal
4.7,46.19,239.97,0.42,90.26,normal
6.14,10.68,225.84,0.03,131.34,abnormal
6.19,49.41,86.4,0.74,245.01,normal
5.7,59.26,155.03,0.11,177.0,normal
2.82,53.92,117.87,0.21,188.94,normal
6.31,43.58,139.46,0.16,82.22,normal
3.24,45.99,247.87,0.85,172.82,normal
7.1,56.81,858.07,0.61,119.74,abnormal
5.94,44.96,245.3,0.75,224.93,normal
6.47,81.15,123.76,0.07,229.34,abnormal
4.37,58.56,180.15,0.75,98.49,normal
7.15,45.52,156.65,0.23,226.18,normal
2.1,90.18,222.25,0.7,84.27,abnormal
5.56,50.01,101.81,0.72,194.71,normal
5.45,56.35,189.23,0.88,166.53,normal
12.49,42.07,81.36,0.89,164.2,abnormal
6.15,42.3,161.39,0.04,115.36,normal
4.09,45.74,825.85,0.41,117.34,abnormal
2.79,55.55,86.34,0.01,110.35,normal
7.09,47.63,90.9,0.72,94.69,normal
2.16,57.94,228.69,0.11,205.76,normal
7.18,46.67,146.89,0.36,191.4,normal
3.98,46.75,195.18,0.47,50.46,normal
2.47,51.47,117.13,2.28,191.16,abnormal
3.13,53.92,147.41,0.22,64.5,normal
4.23,57.7,577.97,0.18,215.76,abnormal
6.02,42.71,225.86,0.19,141.5,normal
4.44,53.12,83.18,0.23,140.15,normal
5.03,53.86,216.17,0.4,214.31,normal
2.2,55.83,248.06,0.65,192.15,normal
7.16,47.63,749.54,0.05,227.22,abnormal
5.88,59.45,154.49,0.29,143.16,normal
2.23,44.16,134.15,0.16,157.31,normal
4.2,40.94,107.54,0.56,238.86,normal
4.03,48.97,137.25,0.87,234.46,normal
3.21,50.41,106.06,0.79,51.86,normal
3.98,51.47,98.33,0.2,51.99,normal
3.18,48.17,154.97,0.73,74.57,normal
4.74,58.66,81.82,5.42,78.4,abnormal
5.66,55.02,133.58,0.9,61.33,normal
4.22,41.12,240.07,0.17,96.17,normal
6.62,56.32,109.01,0.03,104.17,normal
2.79,42.54,130.32,2.27,244.44,abnormal
6.45,59.99,211.0,0.09,193.54,normal
6.78,45.85,229.78,0.06,1314.32,abnormal
7.5,45.18,230.13,0.46,205.24,normal
7.5,52.84,197.47,0.32,102.09,normal
6.72,52.01,226.59,0.93,60.01,normal
5.25,50.74,236.48,0.15,185.53,normal
4.04,57.44,90.9,0.16,169.76,normal
5.51,53.76,145.5,0.76,106.35,normal
5.04,54.79,241.02,0.49,175.44,normal
6.62,41.53,111.67,0.13,67.19,normal
5.19,59.32,87.13,0.7,246.5,normal
6.84,54.85,88.5,0.92,245.2,normal
7.13,57.26,162.4,0.69,209.59,normal
2.91,42.07,982.97,0.62,188.89,abnormal
3.91,57.71,209.93,0.49,84.53,normal
4.95,47.76,123.27,0.22,140.88,normal
4.16,45.79,104.54,0.38,125.38,normal
6.87,51.82,189.83,0.85,88.47,normal
6.42,53.85,218.8,0.2,107.98,normal
7.26,56.67,131.8,0.84,149.82,normal
7.53,40.23,158.99,0.8,52.06,normal
6.1,55.32,196.34,0.07,203.22,normal
6.73,48.96,123.75,0.7,86.33,normal
5.95,43.2,229.2,0.74,132.82,normal
4.71,49.96,134.21,0.17,232.41,normal
2.11,41.61,147.89,0.54,78.35,normal
2.17,47.38,203.27,0.16,168.51,normal
3.94,57.29,237.92,0.41,58.41,normal
3.89,53.3,178.87,0.23,98.87,normal
6.87,52.92,109.3,0.62,109.33,normal
3.08,48.63,92.92,0.66,174.7,normal
6.01,46.79,113.07,0.72,94.61,normal
7.11,40.87,177.56,0.85,94.89,normal
18.19,41.67,224.59,0.09,215.77,abnormal
4.23,45.92,192.67,0.88,192.25,normal
7.22,50.87,171.08,0.99,109.59,normal
6.58,42.19,135.54,0.56,61.7,normal
3.83,42.67,222.26,0.0,208.92,normal
7.57,58.31,164.63,0.64,146.09,normal
5.12,55.52,243.16,0.64,106.35,normal
3.86,54.91,181.28,0.72,717.71,abnormal
2.67,42.82,238.13,0.81,85.81,normal
2.1,53.8,87.73,0.16,100.59,normal
7.84,45.63,162.55,0.51,225.99,normal
6.2,42.24,160.08,0.61,80.68,normal
5.53,51.88,184.2,0.58,155.37,normal
5.08,43.98,205.01,0.02,93.87,normal
4.46,54.75,206.67,0.71,62.48,normal
3.18,43.23,137.23,0.54,87.71,normal
3.93,40.93,217.63,0.27,227.26,normal
6.26,58.71,731.89,0.16,133.59,abnormal
3.03,55.57,210.44,0.06,140.22,normal
4.59,56.45,208.57,0.93,221.56,normal
5.33,57.79,229.94,0.5,228.59,normal
7.3,44.08,218.47,0.41,199.4,normal
5.81,57.67,243.79,0.91,200.01,normal
3.06,49.1,122.13,0.55,243.03,normal
7.84,43.8,192.85,0.79,90.23,normal
5.65,41.98,171.9,0.51,244.16,normal
3.12,54.74,203.81,0.06,145.37,normal
6.59,58.82,83.36,0.95,146.46,normal
5.9,48.45,186.96,0.37,166.4,normal
7.39,50.76,97.08,0.65,103.28,normal
5.73,49.34,155.58,0.41,142.13,normal
2.66,59.4,151.23,0.85,178.65,normal
3.79,53.21,110.29,0.68,248.14,normal
2.9,47.82,142.67,0.95,129.85,normal
3.02,57.4,177.71,0.09,114.73,normal
5.7,51.86,231.49,0.16,115.23,normal
6.03,52.57,81.54,0.44,109.57,normal
7.17,40.45,125.58,0.48,202.97,normal
5.54,59.94,90.7,0.44,173.75,normal
5.37,51.06,181.2,0.31,185.94,normal
4.11,52.36,177.07,0.41,65.05,normal
6.82,56.04,223.99,0.11,142.41,normal
4.75,58.87,138.37,0.4,166.3,normal
2.64,47.62,211.99,0.53,103.04,normal
6.75,43.33,188.8,0.81,225.17,normal
3.03,56.71,247.72,0.16,77.91,normal
4.38,45.8,182.31,0.06,217.97,normal
5.21,45.05,168.41,0.77,50.11,normal
5.33,57.5,882.7,0.33,111.02,abnormal
5.31,52.38,205.27,0.26,220.92,normal
4.09,59.68,541.94,0.15,242.03,abnormal
7.49,40.94,116.19,0.68,194.04,normal
4.42,51.84,227.8,0.6,179.01,normal
7.81,47.15,129.77,0.56,203.45,normal
4.63,50.83,223.59,0.99,136.4,normal
5.02,49.6,202.57,0.02,73.66,normal
4.49,52.85,85.94,0.11,200.02,normal
7.33,42.46,119.26,0.92,110.6,normal
-1.39,58.76,146.88,0.27,118.59,abnormal
7.41,48.02,235.81,0.16,238.0,normal
6.72,42.52,135.01,0.34,169.47,normal
-3.11,48.51,110.3,0.94,86.16,abnormal
3.99,44.31,187.98,0.66,137.92,normal
4.99,49.61,146.1,0.54,186.95,normal
5.58,52.02,135.46,0.1,214.82,normal
3.35,40.12,221.17,0.97,107.49,normal
3.31,43.32,220.91,0.9,61.27,normal
4.37,53.17,240.91,0.93,63.6,normal
4.83,58.46,188.82,0.63,142.66,normal
6.63,50.72,172.75,0.25,119.3,normal
6.05,51.08,109.06,0.58,111.05,normal
4.08,54.26,133.15,0.41,245.5,normal
4.21,41.68,91.32,0.34,60.45,normal
13.63,51.99,123.92,0.45,103.85,abnormal
4.2,44.3,211.3,0.3,224.77,normal
7.12,45.92,221.66,0.84,73.82,normal
6.21,59.6,158.11,0.26,219.48,normal
2.22,44.63,166.79,0.03,89.05,normal
4.53,57.48,91.67,0.2,215.1,normal
5.61,43.64,239.18,0.51,151.21,normal
7.48,41.37,215.05,3.92,145.04,abnormal
6.96,48.7,133.71,0.06,86.31,normal
3.83,46.53,192.35,0.93,195.79,normal
6.83,50.24,97.26,0.56,71.48,normal
4.87,45.85,227.79,0.5,197.04,normal
4.27,43.25,217.54,0.59,63.06,normal
3.26,47.92,179.9,0.58,227.73,normal
4.58,59.43,138.05,0.61,165.02,normal
6.14,42.24,170.49,0.55,145.94,normal
5.19,44.68,238.29,0.71,82.75,normal
5.24,48.19,168.75,0.9,84.04,normal
3.66,58.76,212.0,0.3,200.22,normal
5.69,49.16,143.02,0.17,1410.84,abnormal
6.65,49.81,187.97,0.57,200.85,normal
5.11,42.22,180.7,0.18,64.29,normal
4.78,50.78,192.26,0.66,176.24,normal
2.83,50.58,111.88,0.61,221.98,normal
2.09,16.56,178.7,0.3,243.1,abnormal
2.59,45.32,237.41,3.7,202.11,abnormal
7.97,59.64,97.82,0.18,93.53,normal
5.17,46.83,153.85,0.54,205.07,normal
5.66,59.72,221.83,0.08,239.05,normal
2.07,56.42,205.44,0.62,233.38,normal
5.44,56.92,221.68,0.45,1077.09,abnormal
2.89,57.23,237.18,0.59,94.2,normal
2.54,56.58,133.22,0.5,200.17,normal
4.79,54.98,210.7,0.67,89.03,normal
2.12,54.89,100.72,0.24,166.9,normal
7.75,50.65,224.98,0.98,111.47,normal
3.89,42.43,203.0,0.04,61.81,normal
6.96,55.95,225.45,0.72,58.54,normal
7.28,45.99,201.49,0.21,63.94,normal
6.18,55.74,164.35,0.38,130.41,normal
12.17,46.97,202.51,0.4,99.07,abnormal
6.79,41.21,81.21,0.33,114.35,normal
