temperature,humidity,gas_ppm,vibration,condition
3.95,83.11,1092.27,0.14,abnormal
3.11,65.07,304.22,0.96,normal
4.96,76.03,235.54,0.01,normal
5.53,83.08,259.12,1.25,normal
2.59,67.55,211.65,1.35,normal
5.44,82.98,192.02,0.37,normal
5.12,82.68,231.28,0.93,normal
5.72,82.29,345.24,1.22,normal
9.26,83.49,306.48,0.62,abnormal
4.94,69.96,181.84,1.05,normal
2.15,74.41,189.91,1.38,normal
5.28,82.43,194.58,0.99,normal
3.11,66.39,304.67,0.53,normal
4.72,81.87,216.23,0.04,normal
2.71,99.63,203.09,0.16,abnormal
4.91,71.27,271.24,0.77,normal
4.31,70.09,291.76,0.0,normal
4.75,83.81,1015.93,0.3,abnormal
5.8,83.42,274.63,1.0,normal
5.6,75.14,283.38,0.49,normal
4.22,68.84,282.99,0.57,normal
2.7,76.38,231.22,1.25,normal
2.84,80.72,271.33,0.48,normal
4.7,75.22,308.75,1.44,normal
4.64,70.68,282.77,0.93,normal
5.81,69.7,212.08,1.21,normal
2.18,84.68,272.25,1.15,normal
5.54,76.51,293.67,0.58,normal
2.59,78.75,328.53,1.29,normal
2.88,51.08,289.18,0.7,abnormal
5.67,67.43,176.67,0.7,normal
4.24,71.35,301.05,0.66,normal
5.57,73.53,331.37,0.67,normal
5.45,74.0,300.36,1.26,normal
5.11,74.69,197.85,0.66,normal
2.94,71.72,328.61,0.12,normal
3.53,68.06,192.79,0.62,normal
3.86,66.25,316.58,0.58,normal
5.78,65.39,326.13,0.86,normal
5.77,70.97,228.0,1.34,normal
4.99,75.92,922.28,0.33,abnormal
3.74,65.58,217.23,1.02,normal
2.66,74.35,175.53,0.93,normal
3.58,76.29,155.42,0.96,normal
3.85,66.01,225.82,0.32,normal
5.04,72.58,300.4,1.25,normal
2.33,65.39,257.88,1.5,normal
4.6,80.62,280.35,1.13,normal
0.52,77.43,197.71,0.71,abnormal
5.79,74.3,201.25,0.55,normal
5.85,79.37,305.56,0.25,normal
4.31,83.58,265.16,1.36,normal
5.77,68.97,268.42,1.25,normal
4.79,71.03,286.85,1.21,normal
4.26,65.82,256.55,0.99,normal
4.59,65.25,234.01,0.74,normal
3.45,82.83,241.95,0.23,normal
4.09,78.01,273.18,1.38,normal
3.86,81.51,268.49,0.48,normal
5.74,70.58,240.16,1.13,normal
4.67,71.73,248.86,0.49,normal
3.42,70.17,205.93,0.89,normal
2.04,83.96,559.93,1.08,abnormal
5.03,78.81,279.18,0.74,normal
2.37,69.43,288.36,0.46,normal
3.89,75.62,235.1,1.12,normal
4.81,70.42,200.28,0.18,normal
2.48,75.72,302.44,0.28,normal
3.94,79.49,345.32,0.79,normal
2.4,68.88,195.5,0.27,normal
4.14,70.49,344.86,0.83,normal
2.51,82.37,248.18,1.31,normal
3.88,73.81,186.87,0.08,normal
2.46,36.31,248.35,0.87,abnormal
2.61,81.22,339.83,0.13,normal
4.23,73.32,269.23,0.93,normal
3.52,83.17,209.47,0.88,normal
4.27,66.2,342.02,0.15,normal
4.5,70.29,166.24,0.36,normal
2.63,73.17,287.87,0.7,normal
3.15,70.65,321.92,0.11,normal
3.06,80.82,267.96,1.21,normal
2.46,69.5,179.8,0.4,normal
2.24,80.85,269.01,1.24,normal
2.5,48.77,289.95,1.41,abnormal
3.98,66.61,157.97,0.65,normal
3.0,66.83,342.38,1.25,normal
5.8,84.99,284.46,0.4,normal
5.03,74.41,280.3,1.37,normal
4.34,77.7,248.35,0.14,normal
3.33,78.4,321.55,0.49,normal
3.15,83.9,312.71,0.83,normal
3.26,71.47,344.04,0.61,normal
5.95,78.15,258.52,0.62,normal
3.45,80.13,275.08,1.14,normal
4.2,83.55,237.62,1.05,normal
5.89,77.18,197.86,0.24,normal
4.21,66.86,348.45,1.37,normal
2.47,81.64,249.68,1.07,normal
3.09,81.69,346.05,0.37,normal
3.53,83.44,251.65,1.32,normal
5.09,98.54,217.98,1.18,abnormal
2.01,79.52,317.5,0.87,normal
5.46,73.93,246.87,0.5,normal
3.51,83.66,323.92,1.47,normal
3.53,82.12,232.16,0.48,normal
5.65,72.62,347.68,1.19,normal
2.61,84.3,175.25,1.45,normal
2.4,81.9,169.94,1.37,normal
2.58,82.42,343.99,0.11,normal
3.06,77.47,229.5,0.12,normal
4.7,75.67,340.83,0.94,normal
5.49,35.72,163.68,0.95,abnormal
0.24,73.68,169.69,0.95,abnormal
2.67,40.99,155.79,0.49,abnormal
3.43,73.61,198.84,0.62,normal
2.72,68.5,271.9,0.57,normal
3.99,76.66,196.44,0.96,normal
4.67,82.98,243.05,0.43,normal
2.3,83.9,347.53,0.45,normal
3.0,81.91,189.84,4.92,abnormal
2.95,76.44,264.96,1.49,normal
5.91,78.16,204.9,0.85,normal
4.98,65.98,271.28,0.75,normal
5.1,92.3,310.39,0.33,abnormal
3.0,80.11,303.49,1.02,normal
2.39,77.55,157.88,1.18,normal
3.46,67.63,331.93,0.49,normal
2.8,80.73,325.29,0.55,normal
3.09,68.29,332.81,1.42,normal
4.99,93.39,173.03,1.44,abnormal
5.87,82.2,294.84,1.47,normal
3.46,80.81,509.74,0.8,abnormal
4.69,78.45,266.91,1.23,normal
12.72,74.43,273.91,1.41,abnormal
4.44,77.95,277.08,0.7,normal
4.6,67.33,159.07,0.06,normal
8.68,82.75,177.13,0.68,abnormal
4.97,83.92,233.83,1.11,normal
3.66,66.98,247.87,0.61,normal
12.83,69.35,238.94,0.35,abnormal
5.92,72.35,330.34,0.97,normal
3.1,84.36,339.8,1.24,normal
2.85,77.79,344.22,0.08,normal
5.96,80.74,191.04,1.24,normal
4.35,81.26,196.6,1.16,normal
4.38,70.55,346.81,1.48,normal
5.19,67.2,323.29,0.2,normal
5.15,76.78,153.16,0.4,normal
3.68,67.27,162.71,0.67,normal
4.37,74.04,194.31,0.92,normal
5.64,78.18,210.33,0.97,normal
5.99,81.95,235.25,0.16,normal
3.77,82.99,214.42,0.22,normal
4.5,76.71,292.43,0.57,normal
3.18,75.11,236.04,1.19,normal
4.62,82.55,260.27,1.3,normal
5.55,73.28,315.48,0.6,normal
3.25,71.25,200.98,1.43,normal
3.9,66.82,167.07,0.65,normal
3.49,67.6,162.0,1.43,normal
4.68,73.22,324.72,1.41,normal
5.66,66.03,207.53,0.47,normal
4.03,68.09,246.44,1.27,normal
4.23,67.3,205.71,0.34,normal
4.24,80.35,274.34,1.01,normal
4.44,78.16,288.69,0.04,normal
5.05,83.43,220.2,0.27,normal
4.63,66.39,298.19,1.46,normal
4.12,72.52,240.73,0.24,normal
3.3,83.83,269.24,1.33,normal
5.02,66.0,166.32,0.66,normal
4.43,73.28,193.11,0.77,normal
2.44,78.56,268.63,0.79,normal
2.88,84.69,160.96,0.31,normal
0.29,70.79,174.0,0.75,abnormal
2.52,75.65,196.02,0.84,normal
3.42,72.94,298.41,0.65,normal
2.31,71.26,235.86,0.61,normal
3.16,73.1,343.24,0.26,normal
5.33,53.4,167.63,1.27,abnormal
4.36,75.48,229.15,0.47,normal
3.33,68.36,252.1,0.17,normal
5.62,71.99,295.48,1.23,normal
2.95,67.93,189.45,0.9,normal
4.62,68.54,304.57,0.74,normal
5.04,73.98,334.83,0.85,normal
4.5,82.28,275.44,0.23,normal
3.77,71.06,204.93,0.08,normal
3.24,74.04,161.38,1.25,normal
5.46,82.11,273.0,0.76,normal
4.22,80.84,329.18,0.67,normal
4.61,71.43,245.13,0.23,normal
2.41,82.98,218.69,1.07,normal
2.69,69.95,237.55,0.66,normal
2.63,72.46,206.58,0.61,normal
4.39,80.78,279.46,0.1,normal
4.71,70.68,294.75,0.98,normal
-1.0,76.65,178.29,0.52,abnormal
4.65,67.58,291.77,3.42,abnormal
4.57,71.57,175.56,1.05,normal
5.65,66.87,284.09,5.54,abnormal
3.24,84.02,218.35,1.15,normal
6.0,68.1,209.16,1.18,normal
4.16,79.77,255.31,0.99,normal
2.52,72.53,613.57,1.25,abnormal
5.24,68.31,237.53,0.62,normal
2.95,73.88,206.99,1.12,normal
4.14,71.19,311.72,0.7,normal
4.71,95.7,238.12,1.15,abnormal
4.01,73.37,182.41,0.3,normal
5.49,66.04,246.12,0.56,normal
5.38,82.02,207.01,6.82,abnormal
5.62,67.95,237.49,1.42,normal
3.8,71.99,155.33,0.08,normal
2.94,84.89,224.98,0.04,normal
4.6,80.83,177.52,4.43,abnormal
5.32,80.18,243.82,6.08,abnormal
9.79,81.7,259.76,1.09,abnormal
2.44,70.76,210.23,0.07,normal
5.18,74.14,172.17,1.36,normal
2.07,75.31,198.39,0.22,normal
4.46,69.81,233.31,1.0,normal
5.9,66.35,255.21,0.76,normal
2.08,82.47,530.47,0.58,abnormal
4.99,72.14,163.51,0.36,normal
2.41,76.64,301.34,0.2,normal
3.35,77.86,316.08,1.03,normal
4.53,51.23,162.62,1.16,abnormal
3.17,65.88,189.89,0.06,normal
3.59,81.31,831.38,0.05,abnormal
3.14,82.24,159.56,0.98,normal
5.2,73.74,230.0,0.66,normal
5.89,94.96,249.5,1.39,abnormal
5.2,79.54,165.79,0.9,normal
3.18,67.05,729.54,0.44,abnormal
4.87,68.33,238.78,0.67,normal
5.65,77.3,236.99,0.96,normal
2.23,78.42,231.24,0.77,normal
2.64,65.62,319.73,1.02,normal
2.5,69.72,279.03,0.54,normal
12.24,78.58,339.76,0.56,abnormal
4.3,75.59,229.61,0.97,normal
2.45,79.71,249.81,0.58,normal
3.05,70.21,239.25,1.49,normal
5.67,74.82,174.53,1.28,normal
5.59,73.9,167.56,1.02,normal
4.67,97.1,260.0,0.44,abnormal
2.63,79.19,290.04,0.26,normal
2.9,84.7,308.41,0.36,normal
3.44,76.45,243.48,1.47,normal
5.54,66.31,229.63,1.08,normal
3.64,73.19,264.98,0.19,normal
2.3,74.32,253.47,0.19,normal
4.56,68.64,1176.39,0.65,abnormal
13.82,75.36,210.82,0.24,abnormal
-0.96,83.82,328.99,1.27,abnormal
4.54,76.02,175.03,0.45,normal
4.01,68.37,338.32,0.23,normal
4.88,77.1,318.51,0.85,normal
8.57,83.97,304.2,0.4,abnormal
4.29,77.36,156.06,1.33,normal
4.57,71.04,198.98,1.21,normal
3.81,78.77,181.62,0.62,normal
3.36,67.87,322.3,0.48,normal
5.9,91.31,224.11,0.84,abnormal
3.87,70.35,199.58,0.15,normal
3.54,77.31,199.65,1.3,normal
3.31,76.55,212.54,1.14,normal
4.06,74.98,211.71,0.03,normal
3.83,69.81,908.34,0.07,abnormal
4.39,81.86,284.5,0.43,normal
2.43,67.68,202.89,0.55,normal
2.18,66.02,262.36,0.54,normal
3.55,74.01,259.97,1.24,normal
4.44,67.57,169.34,0.56,normal
5.76,80.1,639.34,0.76,abnormal
2.18,67.74,216.61,0.71,normal
4.43,75.31,215.59,0.92,normal
5.96,79.79,209.85,0.5,normal
3.96,76.26,832.42,0.02,abnormal
2.44,73.33,211.54,1.35,normal
2.11,74.49,343.41,6.91,abnormal
4.31,79.43,266.7,0.26,normal
4.48,81.82,179.56,1.02,normal
5.79,67.2,153.79,0.47,normal
4.76,73.21,304.99,1.38,normal
4.91,79.12,253.74,5.8,abnormal
4.1,41.28,184.64,1.37,abnormal
3.42,80.44,294.18,0.96,normal
4.44,68.85,199.3,0.84,normal
5.89,70.95,207.8,0.31,normal
3.27,71.98,336.74,1.19,normal
2.49,78.53,225.94,1.47,normal
5.82,81.09,208.09,0.43,normal
3.39,73.85,201.29,0.72,normal
4.15,83.66,289.23,0.21,normal
4.35,69.85,283.97,0.8,normal
2.21,73.27,293.47,0.15,normal
2.02,76.01,335.82,0.61,normal
3.91,38.99,342.78,0.48,abnormal
5.63,66.79,264.83,0.8,normal
5.75,83.26,185.01,1.32,normal
5.68,84.94,229.4,0.74,normal
5.51,90.09,263.59,0.16,abnormal
3.82,96.41,254.86,1.33,abnormal
4.02,70.46,311.76,0.5,normal
4.59,79.37,152.82,0.51,normal
4.7,68.86,272.19,0.96,normal
3.71,71.56,230.17,0.14,normal
3.29,39.96,202.16,0.35,abnormal
5.82,71.04,294.58,0.02,normal
4.77,66.24,173.64,0.46,normal
4.01,82.9,290.71,0.47,normal
5.66,70.9,272.93,0.33,normal
2.61,79.95,271.15,0.62,normal
3.88,75.75,282.82,0.33,normal
5.02,82.46,166.37,0.67,normal
2.31,76.28,162.35,0.82,normal
4.29,68.0,215.62,0.78,normal
2.82,76.66,168.19,0.77,normal
3.81,75.26,241.36,0.09,normal
5.23,79.47,229.19,1.22,normal
4.31,65.91,218.91,0.1,normal
14.9,74.44,207.42,0.27,abnormal
4.57,79.59,342.76,0.56,normal
5.48,53.14,225.13,1.02,abnormal
4.16,78.07,219.55,0.27,normal
4.12,79.56,194.54,0.01,normal
3.19,78.47,258.89,0.8,normal
-0.62,68.1,187.7,1.31,abnormal
2.13,78.2,272.98,1.4,normal
-1.38,67.02,156.72,0.9,abnormal
2.19,79.81,230.45,0.35,normal
5.45,66.13,250.78,0.43,normal
4.93,71.38,269.58,1.01,normal
3.21,67.87,282.04,0.33,normal
2.24,83.97,325.94,1.37,normal
3.71,74.91,344.46,1.41,normal
5.14,71.37,233.26,0.22,normal
5.02,74.47,319.87,0.45,normal
5.22,83.29,262.48,1.45,normal
2.54,69.86,190.67,0.97,normal
2.37,97.25,188.1,0.4,abnormal
4.41,82.47,187.63,1.14,normal
4.24,74.59,323.89,0.5,normal
9.48,68.8,298.3,1.12,abnormal
5.66,78.91,290.75,0.59,normal
3.29,70.66,243.25,0.97,normal
3.44,82.66,243.2,1.2,normal
5.05,71.4,190.63,0.47,normal
5.46,79.83,153.24,0.83,normal
4.88,70.9,189.24,0.35,normal
2.98,76.01,338.69,0.51,normal
3.95,79.47,297.92,0.69,normal
3.41,67.8,259.31,0.28,normal
5.83,75.48,317.81,3.37,abnormal
2.19,65.13,177.5,0.95,normal
2.6,69.37,241.2,0.09,normal
5.74,83.26,281.86,0.02,normal
3.65,65.33,294.44,0.8,normal
4.01,78.96,236.11,1.41,normal
5.67,75.49,198.19,0.93,normal
3.42,80.9,165.8,1.44,normal
2.97,78.94,209.99,1.24,normal
5.97,78.0,156.34,0.61,normal
3.9,77.73,290.57,0.12,normal
5.14,76.32,321.59,3.48,abnormal
2.17,69.23,323.62,1.33,normal
2.19,66.49,335.12,1.35,normal
2.13,83.58,212.9,1.44,normal
5.01,79.25,229.66,0.12,normal
2.96,81.69,227.83,1.34,normal
5.02,67.8,347.7,1.09,normal
5.9,66.07,237.42,1.26,normal
5.08,84.1,229.34,1.16,normal
3.09,84.85,248.12,0.53,normal
2.74,46.72,226.01,1.16,abnormal
2.99,66.47,203.59,0.57,normal
2.62,72.79,222.14,0.14,normal
3.44,40.4,176.5,0.28,abnormal
4.22,73.16,155.25,0.53,normal
4.39,71.49,227.05,0.44,normal
2.34,83.02,331.04,1.47,normal
2.68,72.61,177.77,0.45,normal
2.25,73.69,234.22,0.73,normal
3.01,69.93,275.01,0.89,normal
2.43,71.09,339.76,0.5,normal
5.22,71.59,216.95,1.22,normal
2.54,71.41,1163.1,0.3,abnormal
5.86,84.37,208.29,1.04,normal
4.3,69.85,225.21,1.22,normal
2.46,76.28,268.45,0.82,normal
4.2,84.06,242.32,1.06,normal
3.17,78.86,313.79,1.19,normal
4.0,77.67,198.4,0.99,normal
5.16,66.48,348.14,0.72,normal
4.03,83.41,288.34,0.82,normal
3.44,82.91,257.38,0.96,normal
5.08,78.15,221.0,0.97,normal
5.93,78.55,229.92,1.13,normal
2.42,36.97,194.4,1.12,abnormal
4.75,69.42,224.82,0.69,normal
4.76,68.01,349.54,0.72,normal
5.68,66.72,316.26,1.1,normal
3.37,80.69,254.22,0.52,normal
4.89,74.05,163.43,0.07,normal
2.09,71.86,171.87,1.2,normal
2.98,68.49,182.03,5.8,abnormal
0.39,77.6,187.28,0.99,abnormal
4.95,82.66,239.92,0.64,normal
2.86,70.57,290.75,1.19,normal
5.2,75.74,223.16,0.3,normal
4.68,74.79,343.18,0.47,normal
3.57,67.28,220.4,0.69,normal
4.69,81.01,333.74,0.89,normal
3.25,69.77,173.39,0.56,normal
3.55,76.93,264.96,0.63,normal
4.15,83.38,336.14,0.26,normal
3.16,68.74,318.4,0.93,normal
11.39,68.9,226.79,0.84,abnormal
3.64,74.83,292.03,0.67,normal
4.26,80.92,194.11,0.05,normal
3.15,80.61,263.13,1.16,normal
4.04,76.45,203.58,0.81,normal
5.29,65.83,1003.29,0.82,abnormal
13.15,78.07,199.51,1.31,abnormal
3.05,82.24,167.4,1.3,normal
5.25,69.2,297.52,1.03,normal
4.53,68.32,597.46,0.31,abnormal
2.24,72.02,206.22,0.81,normal
4.82,70.79,203.47,1.29,normal
5.26,67.71,300.02,5.06,abnormal
3.11,78.12,290.29,0.2,normal
3.29,69.95,318.71,0.59,normal
4.53,77.56,225.03,0.11,normal
5.08,73.06,299.96,1.04,normal
5.8,41.55,150.49,1.16,abnormal
4.92,74.17,282.83,0.54,normal
4.14,69.36,235.93,0.32,normal
5.31,71.76,265.59,0.85,normal
3.37,78.65,159.68,0.15,normal
3.84,67.48,321.53,0.66,normal
5.83,69.05,287.72,0.2,normal
2.64,83.65,204.8,0.98,normal
3.49,83.08,183.11,0.59,normal
4.8,69.68,281.1,1.06,normal
3.91,67.65,195.24,1.02,normal
4.78,81.34,347.63,0.63,normal
2.28,72.66,296.15,0.15,normal
5.52,67.74,304.69,1.13,normal
5.97,67.86,256.1,0.01,normal
3.76,79.45,275.62,0.23,normal
4.75,82.2,167.34,0.15,normal
4.36,72.68,342.65,0.47,normal
3.11,66.68,260.68,0.9,normal
5.12,78.81,319.58,0.99,normal
4.07,75.19,299.57,0.44,normal
5.59,84.09,248.98,0.17,normal
4.38,75.57,345.54,1.48,normal
-0.84,81.78,234.17,0.82,abnormal
3.88,84.75,164.6,0.88,normal
2.86,83.45,339.74,0.6,normal
4.85,80.34,234.72,0.6,normal
4.15,68.05,166.72,0.12,normal
-0.39,72.81,276.86,1.25,abnormal
2.26,78.97,295.99,1.27,normal
2.34,73.69,240.67,0.91,normal
4.97,79.81,173.89,1.06,normal
2.66,84.06,254.6,1.17,normal
2.67,67.54,306.22,0.4,normal
10.35,73.59,254.77,0.39,abnormal
2.31,74.1,222.02,5.5,abnormal
3.47,70.1,170.58,0.86,normal
2.91,75.18,158.81,1.29,normal
3.89,72.66,180.02,1.4,normal
5.21,79.28,958.99,0.34,abnormal
5.66,71.4,315.2,0.86,normal
4.69,66.05,194.64,0.77,normal
3.6,82.54,323.21,1.16,normal
2.35,74.13,223.78,0.44,normal
4.96,69.85,223.65,1.46,normal
0.2,75.93,309.19,0.23,abnormal
9.63,71.93,317.91,1.32,abnormal
13.31,72.53,297.62,0.46,abnormal
5.93,73.4,342.24,1.46,normal
3.12,65.88,196.29,1.27,normal
5.58,74.17,299.58,0.87,normal
4.55,72.89,268.38,0.09,normal
2.52,70.83,320.18,1.39,normal
5.33,71.53,240.55,0.35,normal
0.34,76.69,181.08,0.25,abnormal
3.63,75.72,342.93,0.31,normal
3.06,67.4,181.52,1.03,normal
4.41,69.3,321.31,3.74,abnormal
5.87,72.92,159.79,0.45,normal
-1.91,73.09,240.44,1.12,abnormal
3.85,81.08,177.96,0.02,normal
-1.61,81.47,224.45,0.95,abnormal
4.33,70.18,312.55,0.03,normal
5.61,73.87,175.76,1.36,normal
2.49,99.42,160.13,1.39,abnormal
4.9,74.92,226.55,0.64,normal
5.63,70.5,239.2,0.22,normal
4.47,77.95,249.78,1.32,normal
2.35,72.66,233.85,0.96,normal
3.0,84.88,258.73,0.03,normal
4.85,74.59,306.29,0.52,normal
3.29,70.41,155.21,0.9,normal
5.24,70.62,311.73,0.71,normal
4.34,69.66,181.92,0.37,normal
4.13,80.82,297.41,1.15,normal
5.39,80.95,748.36,1.26,abnormal
-1.29,71.36,297.62,0.54,abnormal
4.81,72.03,263.53,0.21,normal
4.17,38.51,157.59,0.08,abnormal
2.08,74.56,216.35,0.92,normal
3.36,68.55,310.48,1.3,normal
2.59,79.09,178.33,0.17,normal
3.46,66.45,290.91,0.99,normal
3.35,71.45,345.17,1.1,normal
4.56,74.74,213.46,1.06,normal
5.56,77.27,221.37,1.0,normal
3.51,79.68,208.9,0.27,normal
4.81,76.46,320.15,1.16,normal
2.73,71.36,311.76,0.92,normal
2.42,74.92,216.23,0.12,normal
3.28,77.72,342.62,1.23,normal
4.92,71.71,152.28,0.31,normal
3.4,80.74,294.08,0.07,normal
3.68,68.33,232.8,1.32,normal
3.5,81.58,307.75,0.87,normal
2.9,74.03,309.84,0.05,normal
3.04,67.09,218.36,1.33,normal
2.3,83.84,345.61,0.51,normal
4.82,43.63,280.73,0.91,abnormal
2.21,71.62,344.88,0.61,normal
5.7,75.8,282.12,0.45,normal
3.57,75.99,248.19,0.08,normal
2.35,81.48,275.02,0.72,normal
2.83,77.76,345.41,0.71,normal
5.14,74.42,328.98,0.4,normal
3.55,72.42,226.29,0.28,normal
3.76,70.27,317.42,0.85,normal
4.79,66.93,283.63,1.21,normal
5.03,69.55,162.2,0.58,normal
5.86,78.74,337.27,0.86,normal
3.2,72.9,320.79,0.05,normal
4.07,76.43,346.55,0.22,normal
2.69,54.69,344.43,1.21,abnormal
3.69,84.77,237.08,1.5,normal
5.34,70.16,332.16,1.37,normal
3.55,72.95,215.23,0.41,normal
5.49,80.73,274.61,0.78,normal
3.66,67.96,267.59,1.14,normal
11.94,67.02,207.22,0.8,abnormal
3.64,72.66,247.12,0.91,normal
3.1,67.88,271.73,1.04,normal
5.56,71.63,197.52,1.12,normal
2.08,98.17,210.61,0.42,abnormal
4.78,66.96,323.78,0.2,normal
5.1,41.42,295.76,0.91,abnormal
3.77,83.27,231.43,0.73,normal
3.5,66.12,308.3,0.1,normal
3.61,80.61,254.86,0.85,normal
5.5,69.01,161.53,0.05,normal
3.44,68.98,223.67,0.7,normal
5.69,78.62,198.39,0.73,normal
5.84,74.49,260.27,0.52,normal
5.0,96.89,207.01,0.58,abnormal
4.29,84.3,321.42,0.97,normal
3.08,73.19,154.01,1.17,normal
2.04,83.23,279.47,0.9,normal
3.01,81.1,211.09,1.45,normal
3.7,72.53,219.74,0.38,normal
4.71,81.49,229.43,0.15,normal
4.65,81.87,224.85,0.97,normal
3.19,67.16,162.77,1.48,normal
5.45,70.22,292.22,1.34,normal
2.6,80.31,329.94,1.21,normal
4.4,78.21,286.15,1.08,normal
5.99,70.19,233.71,0.58,normal
4.83,76.44,187.98,1.09,normal
4.14,80.7,331.31,1.01,normal
5.38,81.81,325.3,0.27,normal
2.51,70.17,311.67,1.14,normal
4.72,71.71,167.86,0.53,normal
3.23,80.76,216.26,0.39,normal
5.4,74.41,323.28,0.88,normal
11.31,68.89,173.96,1.02,abnormal
3.65,82.42,180.16,1.49,normal
5.95,82.86,347.33,0.21,normal
0.34,74.75,276.21,0.27,abnormal
2.02,70.47,302.24,0.25,normal
3.96,80.27,167.61,0.92,normal
3.61,84.31,226.66,0.06,normal
3.49,65.28,214.44,1.25,normal
4.71,77.53,199.76,1.04,normal
2.52,72.67,267.73,0.25,normal
5.79,94.56,254.06,0.79,abnormal
4.75,67.68,349.23,0.74,normal
2.66,83.14,312.4,0.03,normal
5.94,69.22,154.38,0.76,normal
4.84,80.84,225.04,0.96,normal
4.49,76.88,159.59,0.16,normal
12.83,73.34,226.05,0.82,abnormal
2.61,78.9,276.06,0.45,normal
4.65,70.4,271.13,0.21,normal
11.58,77.35,206.54,1.18,abnormal
4.44,80.56,316.3,1.46,normal
3.64,68.21,259.63,1.37,normal
3.92,69.69,152.55,0.13,normal
4.3,74.88,339.89,1.17,normal
4.89,83.1,278.87,0.69,normal
3.86,91.0,184.94,0.06,abnormal
5.21,71.25,297.71,0.14,normal
2.18,82.04,282.67,0.26,normal
3.75,77.44,325.7,0.14,normal
2.73,73.02,342.46,0.41,normal
5.4,81.0,279.77,1.2,normal
4.78,66.17,338.49,0.24,normal
4.36,81.05,285.68,0.27,normal
3.43,65.58,286.89,1.26,normal
-0.55,74.76,327.52,0.66,abnormal
4.62,65.25,323.67,0.79,normal
4.9,69.48,341.15,1.31,normal
4.75,77.36,236.57,1.09,normal
4.65,77.83,179.73,1.24,normal
2.22,77.87,609.85,1.27,abnormal
-1.78,74.83,198.18,1.46,abnormal
2.89,77.87,230.66,0.35,normal
5.21,73.96,321.32,0.67,normal
3.99,78.07,170.53,0.62,normal
2.0,66.82,270.84,0.93,normal
4.03,69.14,284.29,1.43,normal
2.22,69.46,240.89,0.84,normal
3.89,78.14,293.18,0.17,normal
2.89,71.83,315.98,1.45,normal
4.09,79.04,159.16,0.25,normal
4.87,79.43,171.39,0.92,normal
5.72,72.86,241.41,1.17,normal
2.43,73.29,335.33,1.26,normal
5.09,74.01,281.69,1.43,normal
4.0,75.61,159.71,1.4,normal
5.7,50.62,332.04,1.04,abnormal
5.26,67.07,281.5,0.91,normal
5.53,73.37,271.8,1.04,normal
3.59,71.86,208.83,1.21,normal
4.41,82.73,252.46,1.26,normal
3.26,79.74,260.72,0.33,normal
4.86,78.73,334.24,0.2,normal
5.9,68.56,258.5,0.96,normal
5.04,76.25,266.56,1.41,normal
4.7,82.88,256.78,1.32,normal
2.05,67.13,226.17,0.08,normal
3.07,80.71,346.71,1.03,normal
2.25,80.69,190.8,0.81,normal
3.81,77.32,285.11,0.84,normal
4.59,72.78,252.18,1.2,normal
4.77,65.94,226.32,0.62,normal
4.74,84.32,160.76,1.12,normal
5.48,82.21,238.61,0.34,normal
4.84,72.35,267.68,1.11,normal
4.9,68.87,239.76,1.48,normal
5.85,79.7,173.87,0.06,normal
3.06,68.22,319.2,0.01,normal
